SE-ARD-Probit-1,SE-ARD-Logit-1,SE-ARD-Probit-2,SE-ARD-Logit-2,SE-ARD-Probit-3,SE-ARD-Logit-3
0.88889,0.92593,0.88889,1,0.88889,0.88889
0.88889,0.92593,0.92593,0.96296,0.92593,0.88889
0.96296,0.92593,0.92593,0.85185,0.88889,0.88889
0.88889,0.88889,0.85185,0.92593,0.88889,0.85185
0.85185,0.92593,0.88889,0.92593,0.88889,0.77778
0.81481,0.88889,1,0.96296,0.85185,0.92593
0.85185,0.92593,0.92593,0.85185,0.92593,0.85185
0.92593,0.85185,0.92593,0.92593,0.85185,0.81481
0.92593,0.88889,0.96296,0.92593,0.85185,0.77778
0.88889,0.92593,0.96296,0.88889,0.85185,0.85185
0.88889,0.88889,0.77778,0.88889,0.96296,0.81481
0.85185,0.92593,1,0.81481,0.85185,0.88889
0.85185,0.88889,1,0.81481,0.96296,0.88889
1,0.92593,0.85185,0.92593,0.92593,0.85185
0.81481,0.92593,0.92593,0.85185,0.85185,0.88889
0.88889,0.92593,0.92593,0.92593,0.88889,0.88889
0.88889,0.88889,0.96296,0.92593,0.88889,0.85185
0.92593,1,0.96296,0.92593,0.81481,0.85185
0.92593,0.88889,0.85185,0.85185,0.81481,0.77778
0.92593,0.81481,0.92593,0.96296,0.88889,0.88889
